"modules"	"SRR8482628"	"SRR8482631"	"SRR8482632"	"SRR8482635"	"SRR8482637"	"SRR8482643"	"SRR8482647"	"SRR8482651"	"SRR8482652"	"SRR8482662"	"SRR8482670"	"SRR8482672"	"SRR8482677"	"SRR8482683"	"SRR8482685"	"SRR8482689"	"SRR8482690"	"SRR8482692"	"SRR8482695"	"SRR8482699"	"SRR8482703"	"SRR8482705"	"SRR8482709"	"SRR8482711"	"SRR8482719"	"SRR8482720"	"SRR8482726"	"SRR8482730"	"SRR8482733"	"SRR8482747"	"SRR8482748"	"SRR8482751"	"SRR8482758"	"SRR8482762"	"SRR8482763"	"SRR8482765"	"SRR8482779"	"SRR8482783"	"SRR8482786"	"SRR8482789"	"SRR8482792"	"SRR8482793"	"SRR8482797"	"SRR8482800"	"SRR8482810"	"SRR8482815"	"SRR8482823"	"SRR8482826"	"SRR8482827"	"SRR8482834"	"SRR8482837"	"SRR8482840"	"SRR8482841"	"SRR8482842"	"SRR8482858"	"SRR8482867"	"SRR8482884"	"SRR8482888"	"SRR8482895"	"SRR8482897"	"SRR8482898"	"SRR8482899"	"SRR8482734"	"SRR8482739"	"SRR8482809"	"SRR8482860"	"SRR8482757"	"SRR8482788"	"SRR8482891"
"M1"	4.13108201786241	3.71283721452239	3.659903132566	4.08122250889391	3.87957754730105	3.88559372421293	3.88038584052468	3.5120291634479	4.16707129115809	3.68469744806331	3.97907382100218	3.80470238297442	3.74380966802348	3.9808739708208	3.51940841844242	4.23010284612033	4.39364416677293	3.72890959269594	3.97062523703685	3.73380413352119	3.99000102074123	3.70038443547689	3.68744219890662	4.24728142521433	2.52922934092719	3.94302785147261	4.40379140643915	3.7100337318591	4.0519097177677	3.86849951015416	4.05637839323799	3.4866373322649	4.11195310476119	4.22756035153716	4.04213080300501	4.16036130144711	3.39736504462379	3.37945239582548	3.87641151880811	4.16947553622314	4.2203899926183	4.28655382308264	4.30625850705493	4.08972301662343	3.77695825391662	3.61244852890643	4.11883264304645	3.75501826054116	4.20421449010829	3.51474151031706	3.90784919921325	3.9519311682147	2.96066073374016	3.78840131098915	3.57236689940631	4.18118614203112	3.54807832234844	3.99248062359489	2.78503446624862	4.27624010962518	3.57734766407879	3.01717868400865	4.26624334893607	4.30196042891566	3.87203219746158	4.11104769168197	4.00725999482008	4.37154381328983	3.84546327878204
"M2"	3.86699278694122	3.71941192766684	3.60504152300015	3.41969643107685	3.41229138527516	3.75757992478175	3.28043446369666	2.77035843916168	3.82714254774599	2.50448503485045	3.40411227549517	2.9550558095927	2.59567437304154	3.58482688923146	3.82709669431487	3.8214961107539	3.7553249523445	3.73619644567619	3.80829799089094	3.6046679472687	3.54965390359095	3.60986898710041	3.60126564710672	3.33256586294869	3.6475065302615	2.93241394453326	3.06193861457035	3.74446070772904	3.72376783985525	3.89159885376618	3.41403145798722	3.48391075333383	3.5268361930918	3.65055595778247	3.44998375429778	3.04500377521815	3.72867800029007	2.69205836549722	3.54432449917474	3.64186695171405	3.80723295073367	3.85417132676979	3.76244056084024	3.18954392207483	3.62457701401151	3.20702461861751	3.91046552924884	3.44906006537804	3.79135840967147	3.60080416642643	3.73416088385777	3.62210304762528	2.51430324009173	2.90233348034804	3.41804641003531	3.10819142982877	3.47830583328689	3.4294811480535	3.4355157027094	3.97008698832875	3.69688510381589	3.67533666612571	3.76805245639951	3.75479567320639	3.42925420207471	3.89013941108548	3.31908265255715	3.86526580036684	3.69644510633619
"M3"	4.10530363148284	3.73938657540634	3.59758867397674	3.94767751581045	3.66762468294608	3.80480716907955	3.5807924890269	3.07802220172578	4.0092051575829	2.9945815420909	3.71685311108727	3.35167911061936	3.22283585987534	3.92994839264389	3.67012402751328	4.21664394432897	4.23579973121518	3.8413471792118	3.8233576264883	3.77271629981177	3.69876186033658	3.53962516381092	3.69131094941152	3.9981076863556	3.29618331410122	3.47988555309404	4.04689741704142	3.76055482337367	4.00770962093315	3.93042268562073	3.73664566337146	3.5948085245705	3.84142791042674	4.03503813210367	3.74567856194761	3.71403085156583	3.56563350163365	3.05417538255154	3.6608054102114	3.95015086266996	4.09770169882658	4.22117914871894	4.17464702301616	3.74708208127736	3.55107240059819	3.53497325820308	4.11557216105695	3.51714046277835	4.06725289693428	3.47742821047365	3.78010070479916	3.80075983627892	2.65461640000592	3.25930810988074	3.68045764183617	3.66057700126771	3.56197279796896	3.78162074700511	3.21842756682531	4.20750437275722	3.55662911071503	3.41233569292678	4.03657126721539	4.08899939868118	3.65556575446878	4.02640232020948	3.6945146894786	4.1593019296417	3.78223689696437
"M4"	3.45975992953487	3.70163933556749	4.01532638013687	2.79783347470887	3.63540280755649	3.90307012147077	3.61344303869055	2.91562295532116	3.69578905292474	2.8552784227131	3.68086742418777	3.25338009908119	3.15961700662582	3.59227686566504	3.73789426288644	3.68139933469524	3.48691386075606	3.75048986692577	4.23640206808645	3.42087711082481	4.07813191541933	3.93149752686934	3.46581792246592	3.37972555728267	3.87367004066265	3.29995111267959	2.98123154163707	3.7419965661542	3.33427947098192	3.78249761991804	3.9768051113528	3.00123306389499	3.17652947356939	3.42286141937973	4.09934380307253	3.10607641898606	3.94383566839251	3.02481048047189	3.87622841537894	3.4614096591735	3.47548888392733	3.61271378616308	3.31533918034342	3.36011064023116	3.9391785823844	3.17614907510453	3.48988191418856	3.4703871428191	3.85526138653089	4.36207846901344	3.89118846428081	3.22422799100144	2.7837891500505	2.98978663612199	3.41361992932955	3.75747802169241	3.48456296147941	3.16399597731006	3.40673887870212	3.93034413516331	3.89578902311138	3.50811198886046	3.89157036660803	3.58677594864999	3.42652341877123	3.47459131249247	3.20827730461801	4.41741145616187	3.50603516513963
"M5"	4.07818966436351	4.06004551988968	4.18996004439545	3.82870016535177	3.75209612317711	4.16625083464428	4.2694675759628	3.65674625244932	4.20634916148507	3.14411769951069	4.11955053302188	3.07844301546297	3.30852148450577	3.82444791553879	4.24677106330772	4.42373831967231	3.66250261324888	4.00387017416542	3.91312640624708	3.82524047985857	3.97730682399007	3.88787652122306	3.56721744472033	4.11741925843489	2.97129023916712	3.24642298821911	3.68370397897037	4.01749586307577	3.91575611113522	4.1800250639524	3.92630389800807	3.79075432943567	3.98053629268727	3.69498089249175	3.96357744496998	3.38594476815005	3.68214902769354	3.14533006716495	3.71760384778641	4.0763918293183	4.09707369944175	4.05989601111151	3.83195330012254	3.72132557006955	3.89658923211417	3.72704297218512	4.00813821185608	4.07489414898667	3.96513145455554	4.31918933655829	4.16602262379406	3.76925031516917	3.34380205502071	3.33536417902599	4.07039792921467	3.60852528836473	4.08248777433455	3.70887361666126	3.55821770788472	4.24428283638581	3.75295209766523	4.05874041698172	4.04385237728626	3.7283389028199	4.00931456317387	4.38408339841153	3.53029534513066	4.12346403439783	4.25553589856357
"Not.Correlated"	3.54509635312271	2.34353412881477	3.76954052791282	2.04146395808197	2.71227741824582	3.34459584280978	2.5203265892899	2.3073268149258	2.39373907707481	3.38678268055719	3.45547957069913	3.21123690346246	2.26729756263022	3.22267253790733	2.53592809708472	3.00026240196336	3.35804298475244	3.07536802851573	2.54054907032638	2.12010130230569	2.54688078948071	2.42598501556377	2.22256499237023	3.92157566737192	2.47970668155615	3.45951348979708	2.61199349717806	2.26976789789829	3.22148829659613	3.46155895982275	3.34275802590514	3.00600380400799	3.15481722919837	2.50156768528354	3.38656678858487	3.82016362259429	2.11254460629237	3.19193509755643	3.18355509892029	3.49589198877106	2.61346389932248	2.55050173324106	3.19001493598771	3.45250307209219	2.32765611015859	2.99229718545706	2.33399332163874	3.25688374787163	3.28953031089936	3.58579987486482	3.43953344606943	3.4236905416255	2.77220923069997	3.1517078546745	2.77966962978656	3.26190748585093	2.80211098200649	2.24955057108932	3.27704803876021	3.56925620522745	2.51185053121002	3.45928590353909	2.57344537221698	2.53015400838037	3.43060673435801	2.61967698216887	3.36983044241494	3.74413287068216	3.59230628733515
