"modules"	"SRR8482628"	"SRR8482631"	"SRR8482632"	"SRR8482635"	"SRR8482637"	"SRR8482643"	"SRR8482647"	"SRR8482651"	"SRR8482652"	"SRR8482662"	"SRR8482670"	"SRR8482672"	"SRR8482677"	"SRR8482683"	"SRR8482685"	"SRR8482689"	"SRR8482690"	"SRR8482692"	"SRR8482695"	"SRR8482699"	"SRR8482703"	"SRR8482705"	"SRR8482709"	"SRR8482711"	"SRR8482719"	"SRR8482720"	"SRR8482726"	"SRR8482730"	"SRR8482733"	"SRR8482747"	"SRR8482748"	"SRR8482751"	"SRR8482758"	"SRR8482762"	"SRR8482763"	"SRR8482765"	"SRR8482779"	"SRR8482783"	"SRR8482786"	"SRR8482789"	"SRR8482792"	"SRR8482793"	"SRR8482797"	"SRR8482800"	"SRR8482810"	"SRR8482815"	"SRR8482823"	"SRR8482826"	"SRR8482827"	"SRR8482834"	"SRR8482837"	"SRR8482840"	"SRR8482841"	"SRR8482842"	"SRR8482858"	"SRR8482867"	"SRR8482884"	"SRR8482888"	"SRR8482895"	"SRR8482897"	"SRR8482898"	"SRR8482899"	"SRR8482734"	"SRR8482739"	"SRR8482809"	"SRR8482860"	"SRR8482757"	"SRR8482788"	"SRR8482891"
"M1"	4.14504361973577	3.67597280007134	3.61069607585874	4.08230436389034	3.84386523431813	3.85277282289274	3.85280115002269	3.45580016285026	4.14401896071317	3.62488927642644	3.96071785251429	3.78251665831084	3.71664381642158	3.99452168524504	3.48810711124806	4.17005170931864	4.44508270880839	3.70837783150866	3.92022946776468	3.7084227566044	3.95095782340127	3.66583094274911	3.67158639707434	4.23172453163569	2.55214827178658	3.92600971010945	4.37132907416521	3.66968263258508	4.06729594899591	3.83200137994241	4.0118763421726	3.45383255447165	4.0649844212504	4.20469869723891	4.02679570087445	4.13656817402594	3.35852484211497	3.34522987215467	3.85057359030998	4.14232301950275	4.21572815795035	4.29225722700191	4.32139451861213	4.0755812966625	3.73207703481267	3.58786643595996	4.1433009046004	3.70181619487635	4.17355442189047	3.48439848417969	3.8541136399888	3.93209135590471	2.89489064368051	3.76645179884552	3.53379246932409	4.16394458775526	3.51146623155591	3.97653042534693	2.75640529873151	4.29777498392302	3.55031117356609	2.94924790146065	4.2429649124848	4.3287805962777	3.79808272583895	4.09856496568605	3.97617877215362	4.33014456706383	3.83796877908868
"M2"	3.76483644307124	3.61995567014035	3.54047675750474	3.37956565946338	3.37610180286603	3.72126630815105	3.18469509475535	2.68808407225782	3.75214233990528	2.45265572316517	3.34523589456134	2.87317729373542	2.51471700813127	3.47505361737198	3.81461042135654	3.68603175799924	3.65211305555641	3.68603790052345	3.76486778966021	3.48441227119964	3.49450214962002	3.57719525668476	3.60051636150085	3.22827087006752	3.62065621032406	2.87010019938222	2.96260080698863	3.66655425142775	3.61283986142792	3.80295563064298	3.3403034118219	3.37955516353398	3.45383255447165	3.57720475999681	3.43371739658757	2.97047725138214	3.72411327673084	2.66934372945048	3.48995105945782	3.53043924123014	3.73772351670527	3.77216727295066	3.7189650991407	3.11977520180895	3.60415188105461	3.11979007412956	3.83287647639663	3.38973805869679	3.71075471638179	3.57796976779106	3.62276193419383	3.50262510160321	2.50815274574794	2.8198991948141	3.34521180406203	3.05180293817505	3.38750633438402	3.33532780559771	3.41055585878101	3.90491090463216	3.66387080976244	3.57795792497913	3.68727711743948	3.65539457663649	3.31873015582484	3.81596438867106	3.23452562334245	3.87063835003469	3.60925657863415
"M3"	4.0655643986843	3.63595845144379	3.48903417297588	3.94145093634598	3.57643978139837	3.67918725421608	3.44488199038788	2.96262873760537	3.90928498042161	2.91850705077779	3.59757148855876	3.24213882547635	3.21105148530429	3.90849326205435	3.54296241811923	4.18937091941024	4.16911304656515	3.8470139741479	3.6878944243987	3.66389766200373	3.58104398060672	3.39199492738231	3.60490668679272	3.95534752968996	3.19805294070053	3.3986455192828	3.98949539747677	3.67287345023301	3.97514587987011	3.81461408943467	3.60344825165051	3.53632291761954	3.73828393654842	3.97445216321897	3.6276796851836	3.69035452188634	3.4797627953835	3.01755202744986	3.52959384175794	3.83246321604134	4.0376157888695	4.15481350249669	4.12183244760843	3.6690464450595	3.40303048745158	3.43269108561527	4.05857609683527	3.39422165892742	4.01701235156714	3.40737724131822	3.62906905724128	3.66776422349448	2.52750879007927	3.11979007412956	3.58862444028641	3.56552842915108	3.452846809809	3.69887054825385	3.11592343838731	4.20228651959142	3.43882378254111	3.34277880650545	3.91322483073318	4.04187890848033	3.51759499162097	3.97860006392264	3.57797924163571	4.08149945817331	3.6560734391134
"M4"	3.50319953299241	3.77892662245602	3.98407004282372	2.77979150962457	3.664987757518	3.90967895952499	3.65272368589619	2.90090040297403	3.73653869439789	2.8603819584486	3.65540499469694	3.25808482503672	3.18252475706965	3.62242525664301	3.73359111842581	3.66255994208645	3.50881601928782	3.78297774182231	4.21667307923428	3.44386826141733	4.09495576573299	3.89389237801957	3.42229490247299	3.42439506896183	3.89482750138774	3.3149204520561	2.9462687405512	3.74839583425	3.36437942374816	3.77320767970796	4.0169206923871	3.04941844182931	3.15867354995253	3.46925956837163	4.09007911668446	3.04941844182931	3.95242807764433	2.99078987230597	3.91001289932704	3.45966657557601	3.43576581226831	3.7354867907179	3.30432768924695	3.38383212148144	3.92969877815846	3.13682483693954	3.49719346468985	3.4787829263995	3.91470371648683	4.37366397469366	3.88910426188324	3.2458308358289	2.77595440551363	2.96508815044062	3.34147082390185	3.81003728571109	3.42585515954525	3.20900609191458	3.41696578193399	3.98943649104122	3.9506688930278	3.53023281835138	3.93245607456725	3.60271689558857	3.43571553890508	3.51142293518172	3.23903288406879	4.45018796831333	3.51496676375184
"M5"	3.91243934639916	3.96108484392875	4.13357503588645	3.72127830772584	3.59904718347508	4.02897865564996	4.13909480885841	3.62906905724128	4.03454823940772	3.11202659321749	4.04970073969373	3.01280153862392	3.30704468071266	3.68169056597218	4.11086403057279	4.37424071470084	3.56552842915108	3.88828050794264	3.790110979596	3.77064879892274	3.94070870060297	3.85324883969622	3.43882378254111	4.07302617675292	2.88880758797322	3.22683731381693	3.58409000331529	3.91400908002295	3.79907139518828	4.04670684156901	3.97514587987011	3.6560734391134	3.84969560834001	3.59311802552838	3.94070870060297	3.33782801713836	3.6276796851836	3.09207216991666	3.60490668679272	3.97236520537452	3.91322483073318	3.88745470880805	3.75580611940566	3.59311802552838	3.83705609222825	3.48719363322316	3.90050618207614	3.86375913635808	3.81747518484054	4.33235354160901	4.18072394253434	3.60051852526205	3.3573429874376	3.37842164999018	3.92101238049668	3.62348819605902	4.00475189068071	3.67414262108077	3.50173121976648	4.20840393391617	3.69158003537918	3.88247099463547	3.97928803944663	3.58862444028641	3.91165262312481	4.28699465165008	3.47031581087879	3.99285195206576	4.25044458955476
"Not.Correlated"	3.85058629205719	3.06272282468687	3.82502549594044	2.09196673715839	3.00800536920946	3.76115792261987	3.11979007412956	2.85722706304594	2.97821749834503	3.46262724273318	3.70724361193008	3.4645605243001	2.66943424817337	3.56394999477668	3.49813635330028	3.47600544552422	3.60781082567054	3.56394999477668	2.92424047607226	2.50158848336462	3.19805294070053	3.32777653197436	2.82351098095851	4.0620824866061	3.27705380363797	3.65078826081992	3.15330369218189	2.48810500421137	3.57643978139837	3.82031996203283	3.57643978139837	3.452846809809	3.68169056597218	3.17445705534711	3.79808370569597	3.83796961412271	2.60889576925259	3.27985599728851	3.55598201550783	3.77273358018758	3.35011405374665	3.28264253580987	3.62067417279003	3.75364921529513	2.85066371751498	3.27140174033377	2.96262873760537	3.50530036215379	3.63321410233333	3.72357950449038	3.67414262108077	3.66518984911182	2.93551331743018	2.95195880253621	3.45873805298351	3.55918449790341	3.06272282468687	2.44531887690271	3.32010271541306	3.82031996203283	3.29363557476456	3.60051852526205	3.35972953557929	2.88264942584037	3.50884414600039	3.28264253580987	3.61499804508596	4.02835595644855	3.74272252771884
